"ID","Latitude","Longitude","Distance"
"025035","66.895192","-162.588707","0.0"
"025036","61.21265","-149.775535","0.0"
"025037","60.784711","-161.788502","0.0"
"025038","61.591634","-149.365964","0.0"
"035003","33.54646","-112.049812","0.0"
"035004","32.242622","-110.885693","0.0"
"035014","33.475466","-112.028946","0.0"
"035016","32.248699","-110.884486","0.0"
"035059","33.485274","-111.923531","0.0"
"035062","33.479853","-112.02414","0.0"
"035064","32.24909","-110.874672","0.0"
"035068","32.242178","-110.87463","0.0"
"035070","32.321848","-111.007231","0.0"
"035071","33.410242","-111.691191","0.0"
"035072","33.606777","-111.9796","0.0"
"035073","31.872373","-110.994187","0.0"
"035074","33.392464","-111.884128","0.0"
"035076","33.486446","-111.921066","0.0"
"035083","33.487217","-111.921481","0.0"
"035084","33.463827","-111.899781","0.0"
"035085","32.227622","-110.851326","0.0"
"035086","31.547889","-110.279716","0.0"
"035087","33.569626","-112.06893","0.0"
"035088","33.505098","-112.051376","0.0"
"035090","33.586735","-111.929285","0.0"
"035091","35.18432","-111.665272","0.0"
"035092","33.512551","-112.183488","0.0"
"035093","34.737896","-112.026677","0.0"
"035094","34.780219","-111.75351","0.0"
"035095","33.299429","-111.872817","0.0"
"035096","32.686938","-114.633965","0.0"
"035097","35.108549","-114.551882","0.0"
"035099","32.171725","-110.929704","0.0"
"035100","34.454415","-114.265128","0.0"
"035101","33.296377","-111.877956","0.0"
"035103","33.407612","-111.721151","0.0"
"035105","33.586577","-111.883852","0.0"
"035106","33.366868","-111.929733","0.0"
"035107","33.497043","-112.102466","0.0"
"035110","33.659463","-112.363335","0.0"
"035111","33.671094","-112.278302","0.0"
"035112","33.394235","-111.566088","0.0"
"035114","34.602463","-112.459197","0.0"
"035116","33.528614","-112.099665","0.0"
"035117","34.231281","-111.323367","0.0"
"035118","34.555637","-111.855571","0.0"
"035120","33.410583","-111.697101","0.0"
"035121","33.603227","-112.287205","0.0"
"035125","33.638403","-112.001548","0.0"
"035126","33.607974","-112.178152","0.0"
"035127","34.55543","-112.488748","0.0"
"035130","33.292766","-111.873738","0.0"
"035131","34.561126","-112.473743","0.0"
"035132","33.58982","-112.099032","0.0"
"035133","32.682239","-114.643601","0.0"
"035134","34.23828","-111.335939","0.0"
"035135","33.414306","-111.727554","0.0"
"035136","31.552275","-110.274259","0.0"
"035137","33.579006","-112.304747","0.0"
"035139","34.20356","-110.01488","0.0"
"035140","32.319811","-111.013255","0.0"
"035141","33.393362","-110.772971","0.0"
"035143","33.584681","-111.875856","0.0"
"035144","33.604314","-112.261868","0.0"
"035145","32.249925","-110.86091","0.0"
"035146","33.640105","-111.993446","0.0"
"035147","32.25022","-110.900506","0.0"
"035151","32.242986","-110.868138","0.0"
"035152","32.68262","-114.642355","0.0"
"035154","33.562207","-112.202098","0.0"
"035158","34.560948","-112.474806","0.0"
"035159","33.563833","-112.161265","0.0"
"035164","33.413945","-111.705359","0.0"
"035165","32.274446","-110.894036","0.0"
"035166","33.447174","-112.345964","0.0"
"035169","35.213281","-114.040769","0.0"
"035171","33.423897","-111.704564","0.0"
"035172","32.815059","-109.732906","0.0"
"035173","33.593709","-112.100374","0.0"
"035174","32.246028","-110.957428","0.0"
"035175","33.366017","-112.065172","0.0"
"035176","33.538724","-112.095496","0.0"
"035180","31.348704","-109.532303","0.0"
"035183","33.564471","-112.282061","0.0"
"035189","32.350831","-110.994845","0.0"
"035190","32.254719","-110.947251","0.0"
"035192","33.595735","-111.888708","0.0"
"035193","33.408468","-111.763327","0.0"
"035196","33.434251","-111.836766","0.0"
"035197","32.683144","-114.6169","0.0"
"035201","33.614994","-112.249581","0.0"
"035205","33.391815","-112.033284","0.0"
"035207","33.405915","-111.673609","0.0"
"035214","31.957502","-110.287655","0.0"
"035216","33.141592","-111.714232","0.0"
"035217","33.477486","-111.935946","0.0"
"035225","33.653164","-112.280484","0.0"
"035231","33.642281","-112.248203","0.0"
"035232","32.351164","-110.993202","0.0"
"035233","33.394216","-110.775094","0.0"
"035234","33.497556","-112.067793","0.0"
"035240","34.452941","-114.295215","0.0"
"035241","33.373982","-112.068637","0.0"
"035242","36.15046","-109.57936","0.0"
"035243","33.638599","-112.322795","0.0"
"035244","34.591768","-112.327435","0.0"
"035245","33.595633","-112.302236","0.0"
"035247","33.530762","-112.075113","0.0"
"035249","35.214471","-114.040591","0.0"
"035250","33.585993","-112.271685","0.0"
"035251","33.343497","-111.891274","0.0"
"035253","32.342901","-110.933948","0.0"
"035254","35.03752","-110.703534","0.0"
"035255","33.461163","-112.351275","0.0"
"035256","33.60859","-112.258903","0.0"
"035257","35.23395","-111.659182","0.0"
"035259","33.479452","-111.950858","0.0"
"035260","33.752131","-111.967544","0.0"
"035262","35.215407","-114.040853","0.0"
"035263","31.92031","-111.87716","0.0"
"035264","33.49337","-112.35794","0.0"
"035265","33.66017","-112.375046","0.0"
"035266","33.414786","-111.706956","0.0"
"035268","33.576048","-111.876497","0.0"
"035270","33.303472","-111.993515","0.0"
"035272","33.668018","-111.918348","0.0"
"035273","32.450929","-110.974021","0.0"
"035274","33.478742","-111.966645","0.0"
"035275","33.637205","-112.193343","0.0"
"035276","32.922192","-111.75329","0.0"
"035277","34.171575","-110.005042","0.0"
"035279","33.665323","-111.980824","0.0"
"035280","33.380194","-111.715578","0.0"
"035281","33.693583","-111.918935","0.0"
"035282","33.659774","-112.379315","0.0"
"035283","33.29374","-111.87942","0.0"
"035284","32.178435","-110.962523","0.0"
"035285","33.290327","-111.747452","0.0"
"035286","33.644858","-111.882651","0.0"
"035287","34.478416","-114.336558","0.0"
"035288","32.465423","-110.956314","0.0"
"035289","33.640276","-112.213601","0.0"
"035290","33.452072","-112.041791","0.0"
"035291","33.282307","-111.751602","0.0"
"035292","32.247268","-110.856901","0.0"
"035293","33.482643","-112.070161","0.0"
"035294","32.284489","-110.931949","0.0"
"035295","32.257457","-110.885353","0.0"
"035296","35.207856","-111.636077","0.0"
"035297","33.64895","-112.377434","0.0"
"045070","36.313202","-94.133526","0.0"
"045098","34.471375","-93.045103","0.0"
"045125","36.119353","-94.133931","0.0"
"045134","35.800596","-90.68462","0.0"
"045135","33.295754","-93.208601","0.0"
"045138","35.459274","-94.360563","0.0"
"045139","33.630755","-91.406607","0.0"
"045140","35.245536","-91.758694","0.0"
"045142","34.533539","-93.037654","0.0"
"045143","36.474265","-94.251989","0.0"
"045146","35.869787","-92.107934","0.0"
"045147","35.16813","-92.734056","0.0"
"045148","35.94771","-91.551593","0.0"
